t,y_e_brbc,c_e_brbc,i_e_brbc,k_e_brbc,w_e_brbc,l_e_brbc,R_e_brbc,Pi_e_brbc,r_e_brbc,y_e_innov1,c_e_innov1,i_e_innov1,k_e_innov1,w_e_innov1,l_e_innov1,R_e_innov1,Pi_e_innov1,r_e_innov1,ce_e_innov1,om_e_innov1,g_e_innov1,z_e_innov1,V_e_innov1
1,.010771,.002061,.005597,.005513,.008237,.00118,.000285,.002486,.000285,.010771,.002061,.005597,.005513,.008237,.00118,.000285,.002486,.000285,.0029,-.006061,5.4e-06,.000213,.012522
2,.010393,.002255,.006479,.01173,.008164,.00106,.000249,.002398,.000249,.010393,.002255,.006479,.01173,.008164,.00106,.000249,.002398,.000249,.001468,-.000289,4.8e-06,.000191,.012404
3,.01011,.002424,.00604,.017315,.008129,.000962,.000217,.002333,.000217,.01011,.002424,.00604,.017315,.008129,.000962,.000217,.002333,.000217,.001456,-.000261,4.8e-06,.00019,.012269
4,.009829,.002571,.005628,.022312,.008077,.000872,.000187,.002268,.000187,.009829,.002571,.005628,.022312,.008077,.000872,.000187,.002268,.000187,.001443,-.000241,4.7e-06,.000188,.012116
5,.009551,.002697,.005241,.026768,.008011,.000789,.000159,.002204,.000159,.009551,.002697,.005241,.026768,.008011,.000789,.000159,.002204,.000159,.001427,-.000223,4.7e-06,.000186,.011948
6,.009277,.002804,.00488,.030724,.007931,.000712,.000134,.002141,.000134,.009277,.002804,.00488,.030724,.007931,.000712,.000134,.002141,.000134,.001409,-.000205,4.6e-06,.000183,.011766
7,.009006,.002894,.004541,.034218,.007839,.00064,.000111,.002078,.000111,.009006,.002894,.004541,.034218,.007839,.00064,.000111,.002078,.000111,.00139,-.000189,4.6e-06,.000181,.011573
8,.008739,.002968,.004224,.037287,.007736,.000574,.00009,.002017,.00009,.008739,.002968,.004224,.037287,.007736,.000574,.00009,.002017,.00009,.001369,-.000174,4.5e-06,.000178,.01137
9,.008476,.003027,.003927,.039965,.007624,.000513,.000071,.001956,.000071,.008476,.003027,.003927,.039965,.007624,.000513,.000071,.001956,.000071,.001346,-.00016,4.4e-06,.000175,.011158
10,.008218,.003073,.00365,.042282,.007504,.000456,.000053,.001896,.000053,.008218,.003073,.00365,.042282,.007504,.000456,.000053,.001896,.000053,.001323,-.000147,4.4e-06,.000172,.010939
11,.007964,.003107,.00339,.044269,.007377,.000404,.000037,.001838,.000037,.007964,.003107,.00339,.044269,.007377,.000404,.000037,.001838,.000037,.001298,-.000135,4.3e-06,.000169,.010714
12,.007715,.00313,.003147,.045952,.007244,.000356,.000023,.00178,.000023,.007715,.00313,.003147,.045952,.007244,.000356,.000023,.00178,.000023,.001273,-.000124,4.2e-06,.000166,.010484
13,.007471,.003142,.00292,.047357,.007106,.000312,9.5e-06,.001724,9.5e-06,.007471,.003142,.00292,.047357,.007106,.000312,9.5e-06,.001724,9.5e-06,.001247,-.000113,4.1e-06,.000162,.010251
14,.007233,.003146,.002708,.048507,.006964,.000271,-2.5e-06,.001669,-2.5e-06,.007233,.003146,.002708,.048507,.006964,.000271,-2.5e-06,.001669,-2.5e-06,.00122,-.000103,4.0e-06,.000159,.010015
15,.006999,.003142,.00251,.049425,.006818,.000234,-.000013,.001615,-.000013,.006999,.003142,.00251,.049425,.006818,.000234,-.000013,.001615,-.000013,.001193,-.000094,3.9e-06,.000155,.009777
16,.006771,.00313,.002324,.05013,.006669,.000199,-.000023,.001563,-.000023,.006771,.00313,.002324,.05013,.006669,.000199,-.000023,.001563,-.000023,.001165,-.000086,3.8e-06,.000152,.009537
17,.006548,.003111,.002151,.050641,.006518,.000168,-.000032,.001511,-.000032,.006548,.003111,.002151,.050641,.006518,.000168,-.000032,.001511,-.000032,.001138,-.000078,3.7e-06,.000148,.009297
18,.006331,.003087,.00199,.050977,.006366,.000139,-.000039,.001461,-.000039,.006331,.003087,.00199,.050977,.006366,.000139,-.000039,.001461,-.000039,.00111,-.000071,3.7e-06,.000144,.009058
19,.006119,.003057,.001839,.051153,.006213,.000112,-.000046,.001412,-.000046,.006119,.003057,.001839,.051153,.006213,.000112,-.000046,.001412,-.000046,.001082,-.000064,3.6e-06,.000141,.008819
20,.005912,.003022,.001698,.051185,.006059,.000088,-.000052,.001364,-.000052,.005912,.003022,.001698,.051185,.006059,.000088,-.000052,.001364,-.000052,.001054,-.000058,3.5e-06,.000137,.008581
