id,title,authors,type,zotero_key,doi,source_url,collection_name,file_path,brief_synopsis,dimensions_json,open_questions,summary_alignment,needs_review,review_reason,analyzed_at,last_prompt_version,last_model,jel_codes,keywords,updated_at
48,A Model of Growth through Creative Destruction,"Philippe Aghion, Peter Howitt",journalArticle,UQZX7M7I,10.3386/w3223,https://ideas.repec.org/a/ecm/emetrp/v60y1992i2p323-51.html,Cyclicality of R&D,,"The paper presents an endogenous growth model where growth arises from vertical innovations that replace older technologies through creative destruction. Equilibrium is governed by a forward-looking difference equation in which current research effort falls when firms expect more research in the next period. It studies the properties of stationary equilibria, identifies conditions under which cyclical equilibria and no-growth traps can occur, and argues that equilibrium growth may be either above or below the social optimum because business-stealing offsets standard spillover and appropriability effects. The paper also concludes that innovations tend to be inefficiently small.",{},"[""What parameter values determine whether the model converges to a stationary equilibrium, exhibits cycles, or falls into a no-growth trap?"", ""Under what conditions does the business-stealing effect dominate spillover and appropriability effects enough to make equilibrium growth exceed or fall short of the social optimum?"", ""What specific mechanism in the model causes innovations to be too small relative to the social optimum, and how robust is that result to alternative assumptions?""]",agree,0,,2026-04-12 20:06:51,v1,codex-cli,,,2026-04-12 20:06:51
114,"A Model of Research, Patenting, and Technological Change",Samuel S Kortum,journalArticle,QX2VPRVZ,10.3386/w4646,http://ideas.repec.org/a/ecm/emetrp/v65y1997i6p1389-1420.html,Cyclicality of R&D,,"The paper presents a search-theoretic model of technological change aimed at explaining a U.S. pattern in which research employment rose sharply while patenting and productivity growth stayed roughly constant. Researchers are modeled as sampling from distributions over potential production techniques, with successful discoveries becoming harder as technology advances. Under specific assumptions about these search distributions, the model reproduces observed U.S. time-series trends in research effort, patenting, and productivity.",{},"[""What specific restrictions on the search distributions are required for the model to match the U.S. time-series evidence?"", ""How does the model distinguish between patent counts and economically meaningful technological breakthroughs?"", ""What mechanisms determine why higher research employment does not translate into faster productivity growth in equilibrium?""]",agree,0,,2026-04-12 20:13:34,v1,codex-cli,,,2026-04-12 20:13:34
177,A Note on the Theme of Too Many Instruments,David Roodman,preprint,KDAVFCNS,,,Cyclicality of R&D,/Users/pedro/Documents/Projects/papers/cyclicality/references/A Note on the Theme of Too Many Instruments.pdf,"Roodman argues that Difference GMM and System GMM, as commonly implemented in software, often produce misleadingly credible results because they generate too many instruments and, in the System GMM case, potentially dubious ones. Excessive instruments can overfit endogenous variables in finite samples and undermine the Hansen test, making invalid models appear acceptable. The paper reviews evidence on instrument proliferation, proposes and simulates simple methods to limit instrument count, and shows through replications of Forbes (2000) and Levine, Loayza, and Beck (2000) that their findings may be driven by previously unrecognized endogeneity.",{},"[""Which specific instrument-reduction methods perform best across different sample sizes and panel structures?"", ""How severe is the weakening of the Hansen test under varying degrees of instrument proliferation in practice?"", ""What criteria should researchers use to judge when System GMM instruments are substantively suspect rather than merely numerous?"", ""Do the replicated reversals in the economic growth applications generalize to other early GMM-based development studies?""]",agree,0,,2026-04-12 20:20:25,v1,codex-cli,"[""C23"", ""G0"", ""O40""]","[""difference GMM"", ""system GMM"", ""Hansen test"", ""small-sample properties of GMM"", ""financial development"", ""inequality""]",2026-04-12 20:20:25
135,A Small Open Economy DSGE Model with a Housing Sector,"Yun Catherine Bao, Guay C Lim, Shuyun May Li",journalArticle,AKUFBAN9,,,Cyclicality of R&D,/Users/pedro/Documents/Projects/papers/cyclicality/references/A Small Open Economy DSGE Model with a Housing Sector.pdf,"The paper builds and estimates a Bayesian DSGE model of a small open economy with an explicit housing sector, using Australian data. It uses the model to simulate various shocks and assess the role of housing in macroeconomic dynamics. The main result is that the relative flexibility of housing prices versus goods prices materially affects the responses of housing activity and consumption expenditure.",{},"[""Which specific shocks are simulated in the model, and which ones generate the largest housing-sector effects?"", ""How is the housing sector structurally modeled within the DSGE framework, including households, construction, and price-setting?"", ""What Australian data series and estimation priors are used in the Bayesian estimation, and how sensitive are results to those choices?""]",agree,0,,2026-04-12 20:15:41,v1,codex-cli,"[""E44"", ""E47"", ""F41"", ""G18""]","[""DSGE"", ""Small Open Economy"", ""Housing market"", ""Bayesian Estimation""]",2026-04-12 20:15:41
146,A Solution to the Problem of Too Many Instruments in Dynamic Panel Data GMM,Jens Mehrhoff,journalArticle,UK8US7AC,10.2139/ssrn.2785360,https://doi.org/10.2139/ssrn.2785360,Cyclicality of R&D,/Users/pedro/Documents/Projects/papers/cyclicality/references/A Solution to the Problem of Too Many Instruments in Dynamic Panel Data GMM.pdf,"The paper addresses instrument proliferation in dynamic panel data GMM, a problem emphasized by Roodman (2009). It proposes factorizing the standard instrument set as a valid transformation that preserves GMM consistency while reducing the harms caused by too many instruments. Based on Monte Carlo simulations, the method yields lower bias and RMSE and more robust overidentification tests than competing transformations. It also suggests replacing ad hoc researcher choice with a more data-driven statistical decision rule, though the source text does not specify that rule in detail.",{},"[""What exact factorization procedure is proposed, and under what assumptions does it preserve GMM consistency?"", ""How does the data-driven statistical decision rule select among instrument transformations in practice?"", ""How does the proposed method compare with standard instrument-collapsing or truncation strategies across different panel sizes and persistence levels?""]",agree,0,,2026-04-12 20:16:57,v1,codex-cli,"[""C13"", ""C15"", ""C23"", ""C81""]","[""Dynamic Panel Data"", ""Generalised Method of Moments"", ""Instrument Proliferation"", ""Factor Analysis""]",2026-04-12 20:16:57
60,A business cycle model with variable capacity utilization and demand disturbances,Tomoyuki Nakajima,journalArticle,A5MGE6XI,10.1016/j.euroecorev.2003.12.002,http://ideas.repec.org/a/eee/eecrev/v49y2005i5p1331-1360.html,Cyclicality of R&D,/Users/pedro/Documents/Projects/papers/cyclicality/references/A Business Cycle Model with Variable Capacity Utilization and Demand Disturbances.pdf,"Nakajima presents a dynamic general-equilibrium model in which demand (preference) shocks and variable capital utilization help explain U.S. business cycles better than standard real business cycle models. The model emphasizes cyclical capital utilization arising from imperfect competition, slow capital adjustment, and fixed labor requirements. It also argues that representative-agent preference shocks can be interpreted as the reduced form of a heterogeneous-agent incomplete-markets economy, providing a microfoundation for such shocks. Finally, the paper distinguishes between shocks to the marginal utility of consumption and shocks to the marginal disutility of labor, showing that they have different macroeconomic effects.",{},"[""How strongly does the model outperform standard real business cycle models across specific U.S. business-cycle moments or empirical targets?"", ""What quantitative role does each mechanism\u2014imperfect competition, slow capital adjustment, and fixed labor requirements\u2014play in generating cyclical capital utilization?"", ""Under what assumptions can a heterogeneous-agent incomplete-markets economy be aggregated into a representative-agent model with preference shocks?"", ""How do shocks to the marginal utility of consumption versus marginal disutility of labor differ in their effects on output, employment, and utilization?""]",agree,0,,2026-04-12 20:07:51,v1,codex-cli,"[""E22"", ""E32""]","[""Aggregation"", ""Preference shocks"", ""Capacity utilization"", ""Business cycles""]",2026-04-12 20:07:51
137,A multisectoral general equilibrium model of Schumpeterian growth and fluctuations,"Leonard K. Cheng, Elias Dinopoulos",journalArticle,J4T74ABK,10.1016/0165-1889(95)00881-0,https://doi.org/10.1016/0165-1889(95)00881-0,Cyclicality of R&D,/Users/pedro/Documents/Projects/papers/cyclicality/references/A Multisectoral General Equilibrium Model of Schumpeterian Growth and Fluctuations.pdf,"The paper develops a dynamic multisectoral general equilibrium model in which Schumpeterian growth and fluctuations arise endogenously through the introduction of new products. Technological opportunities are split between major breakthroughs and incremental improvements, with improvements subject to diminishing returns. When diminishing returns to improvements are sufficiently weak, the economy does not converge to a steady state and instead exhibits symmetric innovation cycles driven by alternating breakthroughs and improvements. The model also implies that longer innovation cycles are associated with lower long-run growth.",{},"[""What specific mechanisms generate the two symmetric stable innovation patterns, and how do they differ quantitatively in growth and fluctuation outcomes?"", ""How sensitive are the cyclical dynamics to the assumed degree of diminishing returns in technological improvements across sectors?"", ""What empirical evidence could be used to test the model's predicted negative relationship between cycle duration and long-run growth?""]",agree,0,,2026-04-12 20:15:53,v1,codex-cli,"[""E3"", ""O3"", ""04""]","[""Schumpeterian growth"", ""endogenous cycles"", ""technological change""]",2026-04-12 20:15:53
163,A note on innovation and patent protection : Intertemporal imitation-risk smoothing,Walter G Park,journalArticle,EKWVSWJZ,,,Cyclicality of R&D,/Users/pedro/Documents/Projects/papers/cyclicality/references/A Note on Innovation and Patent Protection Intertemporal Imitation-Risk Smoothing.pdf,"The note states that when firms face imitation risk, they allocate innovation over time to smooth that risk between current and future technologies. As a result, patent protection influences not only incentives to innovate but also the timing of innovation by changing the value of this intertemporal risk-smoothing motive. The source text is very brief, so details on model structure, scope conditions, and empirical implications are missing.",{},"[""What specific mechanism links stronger or weaker patent protection to earlier versus later innovation under imitation-risk smoothing?"", ""Does the argument predict a change in the total amount of innovation, or mainly a reallocation of innovation across time?"", ""What assumptions about firm behavior, market structure, or imitation risk are required for intertemporal smoothing to occur?""]",agree,0,,2026-04-12 20:18:45,v1,codex-cli,"[""O31""]","[""Patents; Innovation; Imitation; Intertemporal choice""]",2026-04-12 20:18:45
49,A theory of growth and volatility at the aggregate and firm level,"Diego Comin, Sunil Mulani",journalArticle,QER7ZVM3,10.3386/w11503,https://ideas.repec.org/p/nbr/nberwo/11503.html,Cyclicality of R&D,/Users/pedro/Documents/Projects/papers/cyclicality/references/A Theory of Growth and Volatility at the Aggregate and Firm Level.pdf,"The paper develops an endogenous growth model to explain post-war patterns in productivity growth and volatility at both the firm and aggregate levels. It distinguishes between firm-specific R&D innovations, which mainly increase firm-level volatility through Schumpeterian competition, and general innovations, which mainly drive aggregate productivity variance. The model predicts that declining persistence in industry leadership shifts resources away from general innovations toward R&D, increasing firm volatility and reducing aggregate volatility. The net effect on productivity growth is theoretically ambiguous, and the empirical evidence is presented as consistent with these mechanisms.",{},"[""What determines whether the reallocation from general innovations to firm-specific R&D ultimately raises or lowers aggregate productivity growth?"", ""What factors caused the documented decline in market-share persistence during the post-war period?"", ""How stable is the negative relationship between R&D intensity and cross-sector growth correlation across different industries, countries, or later periods?""]",agree,0,,2026-04-12 20:06:58,v1,codex-cli,"[""D9"", ""E3"", ""L1""]","[""Endogenous growth"", ""Aggregate volatility"", ""Firm-level volatility"", ""Innovation""]",2026-04-12 20:06:58
194,Aggregate R&D Expenditure and Endogenous Economic Growth,"Mª Jesús Freire-Serén, Angel de la Fuente, Jaime Alonso, Lorenzo Serrano",preprint,4VDJP7MJ,,,Cyclicality of R&D,/Users/pedro/Documents/Projects/papers/cyclicality/references/Aggregate R&D Expenditure and Endogenous Economic Growth.pdf,"This preprint examines, both theoretically and empirically, how aggregate R&D expenditure contributes to economic growth. It proposes an innovation technology driven by R&D spending rather than labor inputs. The core claim is that this specification can generate sustained, endogenously determined growth even in the absence of population growth.",{},"[""What empirical evidence do the authors provide to identify the effect of aggregate R&D expenditure on growth outcomes?"", ""How does the proposed R&D-expenditure-based innovation technology differ formally from standard labor-based endogenous growth models?"", ""What assumptions are required for sustained growth to persist when population growth is zero?""]",agree,0,,2026-04-12 20:22:21,v1,codex-cli,"[""O30"", ""O40"", ""O47""]","[""Technological change"", ""endogenous growth"", ""aggregateR&D-expenditure"", ""empirical evidence""]",2026-04-12 20:22:21
